viz-id	ra	dec	marked
9945	350.3229289	-0.4433799	false
21847	354.7418977	0.2157868	false
22184	353.3909364	0.9757161	false
23874	349.9319468	1.1587085	false
23916	350.2855463	0.5417756	false
23954	350.1125931	-0.3063006	false
24384	349.8757106	0.0942939	false
24804	354.2773338	-0.0599901	false
26152	353.0330718	0.828995	false
26443	349.5020667	0.7740093	false
26813	354.443532	0.8191113	false
29548	350.0121286	-0.089986	false
29798	349.0562259	1.4459677	false
29857	354.543209	0.1085709	false
30183	354.4902339	-0.4726672	false
30470	353.7438272	1.0638557	false
30824	354.3993038	-0.4017135	false
32006	350.3880984	0.7490498	false
32190	354.9461486	0.4606306	false
32510	354.5724393	-0.3299187	false
32787	349.6942529	1.2309152	false
33222	353.9479091	0.5189174	false
33583	353.8476849	1.4547096	false
33696	350.7143067	0.2273405	false
34316	353.6408316	0.8322176	false
37222	353.8311761	0.4404024	false
37250	354.1858081	0.7517917	false
37464	353.9538406	1.030323	false
37608	349.9470364	0.7676276	false
37832	349.2943869	1.0913525	false
38462	350.0710422	1.4415057	false
38911	350.7378753	-0.4064278	false
39451	354.5485308	0.3540622	false
39874	349.9943615	1.0830165	false
40100	354.0824103	0.5515828	false
40629	353.8565501	-0.3801226	false
40741	350.9466824	1.1514671	false
41221	354.8777436	0.065167	false
41956	349.0927014	1.0997103	false
42350	353.5567135	-0.1970636	false
42759	353.119114	-0.4794225	false
43056	349.7649271	1.1521681	false
43403	354.210173	0.9276398	false
43876	350.0337893	0.4043878	false
44427	350.1077303	0.1383601	false
44531	349.7845014	0.3445108	false
45476	350.6591574	0.9251505	false
46278	353.930628	0.6564076	false
48030	350.0376163	1.109642	false
48271	354.9577879	-0.3345333	false
48700	354.1299795	-0.4954439	false
49809	350.3740487	0.4951888	false
50179	349.3875076	1.068306	false
51892	350.4363107	1.451703	false
52728	350.6512574	-0.2421432	false
53828	353.699872	1.0805215	false
53868	354.5069296	-0.0843471	false
54233	350.2169576	0.6772309	false
54780	354.6409635	1.4553159	true
55024	353.3536473	-0.4739101	false
55916	353.7761058	1.0377976	false
56294	354.024474	0.0549718	false
56311	349.278811	0.8025572	false
56671	354.5458399	0.3612942	false
57310	354.9720276	-0.3601951	false
57629	354.5057121	0.1452879	false
57895	350.2563231	0.7835424	false
58908	353.7641915	-0.2786778	false
59200	350.0417306	0.0842644	false
59793	350.0436128	-0.0003728	false
59823	349.3722729	-0.1506796	false
60030	354.6638436	1.0494948	false
60116	353.6033969	-0.4310176	true
60411	350.2926385	0.8741216	false
60919	354.2050812	-0.3832492	false
62231	353.0249359	1.1186498	false
62423	353.5521464	-0.4963348	false
62480	354.7583194	1.0578062	false
63012	349.5743189	-0.4682165	false
63232	353.7711343	1.4945572	false
64245	349.8135446	0.9719974	false
64247	354.4296715	0.0178034	false
64442	349.033981	-0.3646551	false
64466	353.767267	-0.169702	false
64639	354.8632827	1.0584427	false
64787	354.8992063	-0.3369941	false
65714	354.4073232	-0.2469242	false
65756	353.6344685	-0.1847491	false
66557	350.4906777	0.857182	false
66612	354.5384167	0.2265695	false
67057	353.1800832	0.5048198	false
67921	349.2048221	0.9234316	false
68337	349.689031	0.6651734	false
68442	353.5395747	0.9878832	false
68815	354.5448193	0.3613151	false
69461	353.9203376	0.8150711	false
69854	350.187049	0.2986198	false
70057	349.6502757	0.0484237	false
70079	353.8234434	0.4737939	false
70283	350.3503729	-0.0349803	false
70674	349.7922162	0.3246275	false
70962	353.4142757	1.1133344	false
71391	349.0264477	-0.0250948	false
71888	350.1581625	0.6691311	false
72389	353.2403014	1.4192066	false
72645	353.8051881	0.045978	true
72799	353.7321022	-0.03758	false
73443	349.1408887	0.5454136	false
73714	353.6720995	1.3621708	false
74086	353.2399377	0.6795777	false
74767	353.2201176	1.4205831	false
74846	349.0432325	0.8616154	false
76370	350.4901813	1.279798	false
76543	354.0937745	1.1505576	false
77426	349.7800949	0.1528782	false
77706	350.1627072	1.1513281	false
77780	350.8737649	-0.021981	false
79014	354.4457675	0.2670646	false
79108	350.2206467	0.5312577	false
79385	349.9720671	1.4022908	false
80171	353.986449	0.1417207	false
80559	350.4140351	0.772668	false
80594	350.1338373	-0.1296102	false
80717	350.641009	1.1241142	false
80794	354.5076918	1.3526397	false
80976	353.5085489	0.5788399	false
81730	353.8317739	0.0690603	false
81788	353.273464	-0.4849422	false
81853	349.6604165	0.5685017	false
82811	350.0707575	0.8606424	false
83068	350.4045979	0.9921609	false
83101	350.0862233	-0.3523851	false
83136	353.0710611	0.9736007	false
83250	350.3363865	1.1894604	false
84348	353.8206488	-0.4021411	false
84717	350.7542231	0.8655529	false
85246	353.3607441	-0.3575506	false
85336	349.1739714	0.9834224	false
85953	353.4449602	0.6131406	false
87151	353.5116735	0.8394922	true
87743	354.8250848	1.4617798	false
88460	349.4068531	-0.411486	false
88825	350.789239	0.5448245	false
88954	353.6408778	0.8329201	false
88991	354.2826657	0.211324	false
89225	354.4337965	0.0352458	false
89539	350.0300677	1.4536135	false
89665	353.2324206	0.7108219	false
89730	353.3068291	0.3510808	false
