viz-id ra dec rhalf_spergel SB_eff_avg_g host_z
3805 151.1125408 1.8948408 3.6067294255409994 23.308638038810717 0.030993763357400894
27138 129.6172269 -2.0361118 4.5248061812148315 23.488564219435272 0.03919384256005287
31639 127.4878328 -1.2739235 5.43158554727518 23.96081608419313 0.039390645921230316
2965 225.5325325 1.5155803 4.578332349199997 24.112195795104896 0.03512850031256676
78872 188.2742841 0.8168608 3.7815775270551244 24.23227414165203 0.031207069754600525
65036 207.8542315 -2.1397243 5.853133223121019 24.30269988428416 0.01452628429979086
9176 151.3816002 2.6603597 6.1044267453656875 24.46716967512806 0.022017719224095345
87263 212.431706 -1.8587416 4.097293516926467 24.47464819931165 0.0295658428221941
2291 220.1322156 0.6530128 3.0064942262813594 24.498073262070427 0.03717614710330963
28914 213.7423694 -0.7531567 3.4170872870307996 24.644993598766707 0.03847236931324005
34340 186.4216006 -2.3956632 3.9338348206469114 24.745901431837062 0.029846861958503723
88167 128.0464649 -1.1718533 2.9888826060256397 24.75921931979107 0.030908096581697464
76692 174.6692747 -1.038359 4.616298756002083 24.85374416598224 0.02075546607375145
51149 130.6523407 -0.5812324 2.678475523134429 24.937119411925348 0.03047112748026848
36359 209.0993934 -0.1308648 3.099921105901992 24.968329149034243 0.029737001284956932
30014 209.6914503 -2.2780976 4.445212749850505 24.970920888418963 0.024386001750826836
