viz-id ra dec rhalf_spergel SB_eff_avg_g
30623 29.6350621 -1.5861213 12.570156279623198 23.692564571321167
64 128.6746326 -1.9037648 5.528188246478473 23.887454127584483
16420 354.4571287 -0.5881174 4.627878115890814 23.898387711372
47450 208.6634261 -1.7629063 7.5230324547626815 23.956327060672702
23511 330.7901171 2.6487016 5.232838882878531 24.05847413792234
68255 332.8758383 1.9249198 6.155280433683361 24.06728490990555
80711 330.8767032 2.6109462 4.718618858911098 24.101511491869715
407 3.1768662 -0.0281507 4.224628608791502 24.16221545830817
18480 129.0269876 -2.0057592 3.59364304932809 24.176216063187557
51495 225.1938958 1.5507367 4.508874451302751 24.281794596290624
25657 34.4971174 -4.2758653 8.517004756626255 24.330303566806744
48032 18.8239772 1.833911 3.6009411699618408 24.33630058127744
27681 182.4983234 -0.4671837 4.814289909723267 24.384662098033186
69559 223.3956041 0.7995466 4.596701600282538 24.406793657349304
61376 182.4974251 -0.467135 4.895664861177392 24.407171865629284
86408 333.1066681 -0.7639825 4.438968000532187 24.40938046334624
31282 212.3379584 -1.8829271 5.724696572777559 24.593645425597707
67181 350.3565304 1.8713322 10.059760566538953 24.624545139080805
13189 331.7162045 7.0612253 5.077746161284329 24.69365820979432
24653 152.8763302 0.0590588 3.2353159686290187 24.819388734524683
29808 16.8609663 -0.682905 7.824429797699651 24.93143400128841
32236 225.3305292 1.6050968 9.473291153157419 25.066958298414793
81835 16.0426966 -0.8356968 5.495105957533526 25.10560050404406
1984 189.9153345 0.8239197 7.021915421588288 25.135716594489736
55799 129.0420488 -1.9684373 4.130940676358714 25.171938511894574
14216 28.9578801 -2.569023 5.188075322238126 25.173261507394887
9188 181.032669 1.3215952 4.406727097275749 25.183712104899524
6239 137.2415627 0.5460031 4.6165176060914614 25.21461606192886
64737 18.8926049 0.1279844 4.207670684717226 25.24010387278524
85963 37.683083 -4.6020238 4.903390279313243 25.240830215266882
21112 17.2550972 2.5033857 4.374583329724799 25.257453572590805
73208 18.1948652 -0.4412371 7.943365611263467 25.312797077094217
26209 213.4261644 1.8927767 2.8291136563337793 25.349666403004964
35129 176.7483324 -1.8969284 3.9933468620328747 25.35751816186133
32633 355.4179851 -1.3854725 4.139230686435164 25.387133829356962
60199 349.6590957 -1.109922 2.861555772332166 25.40008923159726
49813 348.1303359 -1.2106582 2.9956955050097167 25.42274996461364
60721 18.6993305 2.0122467 3.0296830138131954 25.434879624364672
21295 35.3433227 -5.4232532 3.4954165263992443 25.469078701989993
66859 35.0167471 -6.5756479 5.212237794850738 25.49950147049959
