viz-id ra dec rhalf_spergel SB_eff_avg_g host_z
3805 151.1125408 1.8948408 3.6067294255409994 23.308638038810717 0.030993763357400894
27138 129.6172269 -2.0361118 4.5248061812148315 23.488564219435272 0.03919384256005287
59963 18.7058033 1.8020719 3.0108099869050107 23.788430198041297 0.03471063822507858
68047 334.136724 3.5017738 2.8620620900606677 23.92171923999677 0.03853338211774826
31639 127.4878328 -1.2739235 5.43158554727518 23.96081608419313 0.039390645921230316
2965 225.5325325 1.5155803 4.578332349199997 24.112195795104896 0.03512850031256676
78872 188.2742841 0.8168608 3.7815775270551244 24.23227414165203 0.031207069754600525
86760 355.9775462 2.7696841 3.5607185764939637 24.253991369957465 0.0374559685587883
79073 3.3471024 0.7698461 3.782772505918614 24.280743552499793 0.038762882351875305
44389 351.2517382 -0.103729 2.8723006059067306 24.28650508626391 0.03415801748633385
65036 207.8542315 -2.1397243 5.853133223121019 24.30269988428416 0.01452628429979086
34114 349.2471387 2.7597047 3.694506771462759 24.388662600191356 0.03541122004389763
27795 344.1060203 -1.2076007 13.421368005340254 24.449519905031416 0.01026711892336607
9176 151.3816002 2.6603597 6.1044267453656875 24.46716967512806 0.022017719224095345
87263 212.431706 -1.8587416 4.097293516926467 24.47464819931165 0.0295658428221941
2291 220.1322156 0.6530128 3.0064942262813594 24.498073262070427 0.03717614710330963
86113 352.6785044 0.232798 6.131836131570433 24.509701588016437 0.017213085666298866
31008 18.4748841 2.1251334 4.2301377381443395 24.54064338840754 0.034197043627500534
28914 213.7423694 -0.7531567 3.4170872870307996 24.644993598766707 0.03847236931324005
13070 20.9089495 -0.5119868 3.20867188133183 24.702202213092505 0.02751089818775654
22098 343.3575396 1.4135878 5.353684811648532 24.704511996284275 0.01610783487558365
34340 186.4216006 -2.3956632 3.9338348206469114 24.745901431837062 0.029846861958503723
27139 347.5482706 2.7355941 4.389589927373563 24.74657763143694 0.03257592022418976
88167 128.0464649 -1.1718533 2.9888826060256397 24.75921931979107 0.030908096581697464
20009 349.4401578 -1.2776546 3.2957523180379904 24.772300231235242 0.02974395640194416
51094 354.4399628 -0.4228657 3.5002616853520405 24.77884749185793 0.035825036466121674
20659 28.7171963 -2.578257 3.045947113274601 24.826049695667404 0.03820982575416565
76692 174.6692747 -1.038359 4.616298756002083 24.85374416598224 0.02075546607375145
51149 130.6523407 -0.5812324 2.678475523134429 24.937119411925348 0.03047112748026848
36359 209.0993934 -0.1308648 3.099921105901992 24.968329149034243 0.029737001284956932
30014 209.6914503 -2.2780976 4.445212749850505 24.970920888418963 0.024386001750826836
21534 350.35837 0.4649426 3.1386007559298728 25.0221527172495 0.03095242567360401
27792 153.3046973 -0.76197 3.911048860099876 25.053073558084765 0.033226657658815384
62470 134.6100278 0.0059503 3.2262718330147 25.112492717066225 0.02846352383494377
4363 176.3969337 -1.8543287 3.963494714611321 25.158689430456043 0.02700159139931202
82340 211.2652064 -0.6982816 3.9756541188587686 25.322152729168565 0.024441352114081383
82230 340.1742102 3.1779487 2.845967979569235 25.434926596139878 0.03988102823495865
