viz-id ra dec rhalf_spergel SB_eff_avg_g
23511 330.7901171 2.6487016 5.232838882878531 24.05847413792234
51495 225.1938958 1.5507367 4.508874451302751 24.281794596290624
31282 212.3379584 -1.8829271 5.724696572777559 24.593645425597707
29808 16.8609663 -0.682905 7.824429797699651 24.93143400128841
32236 225.3305292 1.6050968 9.473291153157419 25.066958298414793
81835 16.0426966 -0.8356968 5.495105957533526 25.10560050404406
1984 189.9153345 0.8239197 7.021915421588288 25.135716594489736
55799 129.0420488 -1.9684373 4.130940676358714 25.171938511894574
64737 18.8926049 0.1279844 4.207670684717226 25.24010387278524
85963 37.683083 -4.6020238 4.903390279313243 25.240830215266882
21112 17.2550972 2.5033857 4.374583329724799 25.257453572590805
73208 18.1948652 -0.4412371 7.943365611263467 25.312797077094217
26209 213.4261644 1.8927767 2.8291136563337793 25.349666403004964
35129 176.7483324 -1.8969284 3.9933468620328747 25.35751816186133
49813 348.1303359 -1.2106582 2.9956955050097167 25.42274996461364
60721 18.6993305 2.0122467 3.0296830138131954 25.434879624364672
21295 35.3433227 -5.4232532 3.4954165263992443 25.469078701989993
66859 35.0167471 -6.5756479 5.212237794850738 25.49950147049959
