viz-id ra dec rhalf_spergel SB_eff_avg_g
56400 356.2783778 0.5301878 2.952565617844607 24.785190792245025
1853 128.8510928 -1.6273562 2.747758293724313 24.797371576684682
55052 359.0842782 -0.3619457 3.4564912601634945 24.84182645182817
67254 181.2910097 1.8426782 5.041913135395883 24.882965826007222
49173 154.3311134 -0.4459286 2.8493256713068056 24.921947183526875
29808 16.8609663 -0.682905 7.824429797699651 24.93143400128841
68951 200.3235751 0.344853 4.2099804399537275 24.934735653959862
30269 15.8729353 -0.6637848 4.699405905564846 24.955575269838505
69381 29.1199043 -4.5306946 4.934805286842259 24.96475920415862
82707 128.8437704 -1.8468404 3.6465684866001506 24.980359304375746
31011 182.774386 0.9267303 4.914281895590833 25.01318514805058
54567 151.4908978 -1.3969897 3.9384177226487704 25.042112158138824
32188 182.8155589 1.0632747 4.861516765698628 25.055149822500933
32236 225.3305292 1.6050968 9.473291153157419 25.066958298414793
52901 339.8143372 3.180133 3.013489237962459 25.073390817511772
89628 177.3622836 -1.4330978 3.482123461240575 25.08009605390342
37424 189.8763873 0.3290996 3.130670154754625 25.081415995668902
81835 16.0426966 -0.8356968 5.495105957533526 25.10560050404406
75450 345.9934271 1.8428793 6.306617216194136 25.191112607396636
14961 37.6178024 -4.6015542 2.5358381735852475 25.197392504771212
28134 225.3210583 1.5922293 2.5836879271827886 25.20398281742627
64737 18.8926049 0.1279844 4.207670684717226 25.24010387278524
85963 37.683083 -4.6020238 4.903390279313243 25.240830215266882
88558 139.9816857 1.1229453 4.023815586760579 25.251889481300008
21112 17.2550972 2.5033857 4.374583329724799 25.257453572590805
71155 34.7837996 -6.4670433 4.136395595806061 25.29473522253647
77499 356.2654163 0.1858894 3.229171227312533 25.304465013967945
73208 18.1948652 -0.4412371 7.943365611263467 25.312797077094217
41052 179.4693223 -2.0928358 3.3101510274443755 25.328204465829376
30074 151.6314081 -1.2494974 2.6085813557606583 25.352763065056198
35129 176.7483324 -1.8969284 3.9933468620328747 25.35751816186133
48454 181.2786471 1.5528935 3.105801799652341 25.381338417478247
51341 149.5314403 1.6786744 2.7304525265115602 25.42163420259924
60721 18.6993305 2.0122467 3.0296830138131954 25.434879624364672
931 187.668276 0.7457892 3.4535630790123535 25.460350616711338
21295 35.3433227 -5.4232532 3.4954165263992443 25.469078701989993
55342 179.7553824 -1.8056669 3.728226531818432 25.47309115061376
59939 154.4511106 -0.4881878 2.7468661747919803 25.47410349551772
55332 30.1675816 -1.3433545 2.39066462609809 25.479518976612248
17027 189.8011 0.3851975 2.514306948596764 25.482125450899726
