id ra dec
1832 150.57554178560906 1.5358103525310651
2434 150.5977313187183 1.5525960498245008
2748 150.57399042963755 1.5567145951470487
4699 150.40380380129065 1.49689354484757
5001 150.426597888368 1.5046642515908644
5822 150.49456462822224 1.5146563642355966
6013 150.4575937127335 1.5126010410439896
6478 150.35294495348842 1.5206949177759064
6585 150.42903118954624 1.5209427761997791
6721 150.3414937995766 1.5254394554573727
7611 150.39829654033764 1.537550086960778
8273 150.37032733758778 1.5484702397920664
9611 150.41855852356235 1.5668706662527605
9983 150.5057690276855 1.5699793521217622
10074 150.38401645882976 1.5724529968765284
10405 150.45218214691374 1.576648159581937
10719 150.2058465148817 1.487806876707606
10736 150.2246875706038 1.4878597832055875
11092 150.1816037212251 1.49289014270298
11475 150.2306875477599 1.4969626693623195
11491 150.30111526266404 1.4959265177787762
12327 150.3326289495305 1.5068261657662865
13538 150.17462288601573 1.519081952338142
13836 150.27034160682155 1.5224737928037635
13916 150.29565842386248 1.5232532071224807
14014 150.2671539634794 1.5268800951522739
14254 150.26013765605745 1.5291146199077192
14722 150.23615411400323 1.5339688387477297
14839 150.26231240627777 1.5352217053304058
15049 150.23727674420414 1.5378832357745051
15306 150.25771705495043 1.5419079168880037
15833 150.1754334287522 1.5459004297302625
16314 150.20388467386775 1.553841247416475
17196 150.284073409832 1.5652250631700249
17914 150.22742736592292 1.572357865575622
17955 150.25583310457574 1.5725120887484096
18150 150.16540359815698 1.5772562349567614
18953 150.03941207333904 1.4921418758420384
19537 150.10477935757655 1.4957533957084417
19735 149.97028282458243 1.4940563734667989
20270 150.01084966967446 1.5041798628308656
21522 149.9878044558669 1.5131880675668836
22133 150.03256098023923 1.5208423962913913
23106 150.13089896780025 1.524204142194119
24141 150.08093319600638 1.5377849857403552
24714 149.97762793773262 1.5420373251018182
24856 149.97387670845194 1.5414319783697794
24858 150.06318110506086 1.5418868860833737
25703 150.1104160996875 1.550216444769751
26189 149.97240086754 1.5537042737130669
26804 150.08699141053015 1.5594228168114974
26930 150.15239928229883 1.5617166797608233
27009 150.1063383675912 1.5620982032888833
29217 149.9639984693083 1.490450253512734
29652 149.8697439687498 1.494558100502703
29686 149.89805028749882 1.4949152940854977
29823 149.86746889020418 1.4972652799846258
29849 149.88062790084132 1.5003756728684972
30041 149.94764438460547 1.5002930650385509
30066 149.91765543854103 1.500873339462732
30266 149.85229444569075 1.502911701266733
30698 149.909669936546 1.5096300177456052
30932 149.9063628464846 1.5130504884542086
32010 149.89352654992473 1.5279053889818874
32176 149.8921616624978 1.5310204103321468
32273 149.7930841530032 1.5314545753574822
32676 149.8457741527236 1.5371578800582648
32693 149.85219827030616 1.537799354252328
32714 149.83811554863834 1.5378547661669704
33555 149.7837404149958 1.5498951060342625
33747 149.91737042395002 1.5514250395194784
34005 149.91330845325098 1.5547066292082603
34369 149.7953052735922 1.5594359922494598
34373 149.89457004601095 1.5586790387872116
34471 149.86477078673 1.559447255729715
35321 149.87385163505752 1.572255787771687
35407 149.8282650278918 1.5724906161421974
38165 149.73139528358044 1.5232559013751086
38185 149.76685112319046 1.523749401051771
39885 149.7472762819486 1.5567053629036876
44449 150.73416040964185 1.6292534121140867
45767 150.74119612831234 1.6752112789395082
46109 150.71712375825325 1.6884259994745943
47085 150.7177240287279 1.7135566782178822
47311 150.76662161061526 1.7218820961830048
47312 150.76640122817003 1.719965034587456
47375 150.8299812485123 1.7188713150522061
48634 150.76303170974117 1.7418174669223654
48735 150.74704721745377 1.7428380136130128
48778 150.74068355712592 1.7438317257248834
48789 150.82315678475973 1.7440459134386164
48859 150.8119233137813 1.7427595482784664
48863 150.7697204618321 1.7435581820062402
49107 150.8578447271258 1.7487778604386064
49288 150.74195133208676 1.751612948669449
52752 150.62467086769294 1.6060370143407479
52789 150.69297829811174 1.6077569073738118
53098 150.67713522859978 1.6134704039638905
53136 150.65889924727443 1.6119774245909873
53503 150.5991109011894 1.617042807889035
53696 150.58116474388353 1.6193093112182986
53861 150.58392433857574 1.6218243027419252
53929 150.5343505277247 1.6221781401177504
54019 150.67069679864045 1.6228838747323737
56417 150.56225000310718 1.6524528856956873
58167 150.63259312842635 1.6698953513305017
58354 150.56365035275664 1.672568193671974
59293 150.6751351545586 1.6835791233308908
60223 150.55151512106352 1.696866745313394
61503 150.60177638940206 1.7100775559671315
61538 150.7043568822128 1.711272008864201
61711 150.71397543729597 1.7144808836760348
61727 150.54231929069903 1.714000116249275
61740 150.63315519167796 1.713451334070237
61926 150.70672092866306 1.715258642957009
61942 150.63524731926907 1.7178609842441348
61964 150.55111210102484 1.7185247937042065
62570 150.59444602308463 1.7228813469222362
62574 150.68238616917574 1.7252682806439106
